,raceId,driverId,constructorId,position,q1,q2,q3
0,18,1,1,1,0 days 00:01:26.572000,0 days 00:01:25.187000,0 days 00:01:26.714000
1,18,9,2,2,0 days 00:01:26.103000,0 days 00:01:25.315000,0 days 00:01:26.869000
2,18,5,1,3,0 days 00:01:25.664000,0 days 00:01:25.452000,0 days 00:01:27.079000
3,18,13,6,4,0 days 00:01:25.994000,0 days 00:01:25.691000,0 days 00:01:27.178000
4,18,2,2,5,0 days 00:01:25.960000,0 days 00:01:25.518000,0 days 00:01:27.236000
5,18,15,7,6,0 days 00:01:26.427000,0 days 00:01:26.101000,0 days 00:01:28.527000
6,18,3,3,7,0 days 00:01:26.295000,0 days 00:01:26.059000,0 days 00:01:28.687000
7,18,14,9,8,0 days 00:01:26.381000,0 days 00:01:26.063000,0 days 00:01:29.041000
8,18,10,7,9,0 days 00:01:26.919000,0 days 00:01:26.164000,0 days 00:01:29.593000
9,18,20,5,10,0 days 00:01:26.702000,0 days 00:01:25.842000,0 days 00:00:00
10,18,22,11,11,0 days 00:01:26.369000,0 days 00:01:26.173000,0 days 00:00:00
11,18,4,4,12,0 days 00:01:26.907000,0 days 00:01:26.188000,0 days 00:00:00
12,18,18,11,13,0 days 00:01:26.712000,0 days 00:01:26.259000,0 days 00:00:00
13,18,6,3,14,0 days 00:01:26.891000,0 days 00:01:26.413000,0 days 00:00:00
14,18,17,9,15,0 days 00:01:26.914000,0 days 00:00:00,0 days 00:00:00
15,18,8,6,16,0 days 00:01:26.140000,0 days 00:00:00,0 days 00:00:00
16,18,21,10,17,0 days 00:01:27.207000,0 days 00:00:00,0 days 00:00:00
17,18,7,5,18,0 days 00:01:27.446000,0 days 00:00:00,0 days 00:00:00
18,18,16,10,19,0 days 00:01:27.859000,0 days 00:00:00,0 days 00:00:00
19,18,11,8,20,0 days 00:01:28.208000,0 days 00:00:00,0 days 00:00:00
20,18,12,4,21,0 days 00:01:28.330000,0 days 00:00:00,0 days 00:00:00
21,18,19,8,22,0 days 00:01:29.059000,0 days 00:00:00,0 days 00:00:00
22,19,13,6,1,0 days 00:01:35.347000,0 days 00:01:34.412000,0 days 00:01:35.748000
23,19,8,6,2,0 days 00:01:35.645000,0 days 00:01:34.188000,0 days 00:01:36.230000
24,19,5,1,3,0 days 00:01:35.227000,0 days 00:01:34.759000,0 days 00:01:36.613000
25,19,1,1,4,0 days 00:01:35.392000,0 days 00:01:34.627000,0 days 00:01:36.709000
26,19,15,7,5,0 days 00:01:35.205000,0 days 00:01:34.960000,0 days 00:01:36.711000
27,19,9,2,6,0 days 00:01:35.794000,0 days 00:01:34.811000,0 days 00:01:36.727000
28,19,2,2,7,0 days 00:01:35.729000,0 days 00:01:34.648000,0 days 00:01:36.753000
29,19,17,9,8,0 days 00:01:35.440000,0 days 00:01:34.967000,0 days 00:01:37.009000
30,19,4,4,9,0 days 00:01:35.983000,0 days 00:01:35.140000,0 days 00:01:38.450000
31,19,10,7,10,0 days 00:01:35.891000,0 days 00:01:35,0 days 00:01:39.656000
32,19,18,11,11,0 days 00:01:35.847000,0 days 00:01:35.208000,0 days 00:00:00
33,19,14,9,12,0 days 00:01:36.058000,0 days 00:01:35.408000,0 days 00:00:00
34,19,12,4,13,0 days 00:01:36.074000,0 days 00:01:35.562000,0 days 00:00:00
35,19,22,11,14,0 days 00:01:36.198000,0 days 00:01:35.622000,0 days 00:00:00
36,19,20,5,15,0 days 00:01:36.111000,0 days 00:01:35.648000,0 days 00:00:00
37,19,3,3,16,0 days 00:01:35.843000,0 days 00:01:35.670000,0 days 00:00:00
38,19,21,10,17,0 days 00:01:36.240000,0 days 00:00:00,0 days 00:00:00
